# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9315401788698316,0.9883961873186914,-18.054081056757866,0,1.0,0.2340861278290798,0.0,0.0,0.0
 0.1650429809942574,1.944489203023542,0.9841752773255308,-18.054081056757866,0.16504298099425743,1.0000000000000002,0.2340861278290798,0.0,2.673085314858441,0.0
 0.23334088048560875,1.9574371420746102,0.980000314540251,-17.871514944591855,0.23334088048560878,1.0,0.23345810789165045,0.0,3.473358088245904,0.0
 0.2857030697134888,1.9703837378153541,0.9758711074483645,-17.689642311118934,0.28570306971348886,1.0000000000000004,0.23283150115803705,0.0,4.107861628817341,0.0
 0.3298089073826811,1.9833287320380897,0.9717874645353842,-17.508461632950816,0.3298089073826812,1.0000000000000013,0.23220640348920643,0.0,4.648830005529995,0.0
 0.3686337935060025,1.9962718665351344,0.9677491942868228,-17.327971337379434,0.3686337935060026,1.0,0.23158290944799972,0.0,5.126886598694961,0.0
 0.4037041097058813,2.0092128830988054,0.963756105188193,-17.14816980324228,0.4037041097058814,1.0,0.23096111237201253,0.0,5.558637547386297,0.0
 0.4359268333378136,2.0221515235214187,0.9598080057250074,-16.969055361782768,0.4359268333378138,1.0000000000000018,0.23034110440055044,0.0,5.954338931230763,0.0
 0.465893059034944,2.0350875295952924,0.9559047043827789,-16.7906262974923,0.4658930590349442,1.0000000000000018,0.2297229764048026,0.0,6.320871275179133,0.0
 0.4940134621866031,2.0480206431127423,0.95204600964702,-16.61288084896452,0.4940134621866033,1.0,0.22910681816238898,0.0,6.6631256047985685,0.0
 0.5205871229215079,2.0609506058660862,0.9482317300032439,-16.435817209708542,0.5205871229215081,1.0,0.2284927181660733,0.0,6.984731506082964,0.0
 0.5458398732337486,2.073877159647641,0.9444616739369629,-16.25943352898739,0.5458398732337488,1.0,0.227880763875347,0.0,7.2884737393375865,0.0
 0.569947199768179,2.086800046249723,0.9407356499336899,-16.083727912615558,0.5699471997681792,1.0,0.2272710414997821,0.0,7.576546563851454,0.0
 0.5930486863585609,2.0997190074646492,0.9370534664789373,-15.908698423769339,0.5930486863585611,1.0,0.22666363620451419,0.0,7.850717086309104,0.0
 0.6152575289500702,2.1126337850847374,0.9334149320582185,-15.734343083769026,0.6152575289500705,1.0,0.22605863194172202,0.0,8.112434572688061,0.0
 0.6366670342392664,2.1255441209023034,0.9298198551570456,-15.560659872876807,0.6366670342392666,1.0,0.22545611171130728,0.0,8.362906128384054,0.0
 0.657355194452501,2.1384497567096643,0.9262680442609316,-15.387646731044555,0.6573551944525011,0.9999999999999947,0.22485615736746803,0.0,8.60315060688993,0.0
 0.6773879917647749,2.1513504342991387,0.9227593078553892,-15.215301558689763,0.677387991764775,1.0,0.22425884970347043,0.0,8.834037961864661,0.0
 0.6968218386630176,2.164245895463041,0.9192934544259311,-15.04362221744562,0.6968218386630177,1.0,0.22366426853948945,0.0,9.056318583688787,0.0
 0.7157054153593675,2.1771358819936895,0.9158702924580701,-14.872606530883955,0.7157054153593676,1.0,0.2230724926037664,0.0,9.270645573006481,0.0
 0.7340810769336279,2.190020135683401,0.9124896304373188,-14.702252285259473,0.734081076933628,1.0,0.2224835997001094,0.0,9.477591932391839,0.0
 0.7519859473114073,2.2028983983244927,0.90915127684919,-14.53255723021651,0.7519859473114074,1.0,0.22189766666880006,0.0,9.677664024291603,0.0
 0.7694527812804873,2.2157704117092814,0.9058550401791964,-14.363519079495667,0.7694527812804874,1.0,0.2213147693460748,0.0,9.871312244249944,0.0
 0.7865106519768444,2.2286359176300827,0.9026007289128507,-14.195135511629886,0.7865106519768446,1.0,0.2207349826835951,0.0,10.058939584577228,0.0
 0.8031855051859615,2.241494657879216,0.8993881515356658,-14.027404170617682,0.8031855051859617,1.0,0.22015838065563706,0.0,10.240908575199839,0.0
 0.8195006107043328,2.2543463742489958,0.8962171165331542,-13.860322666609305,0.8195006107043329,1.0,0.21958503651737382,0.0,10.417546967931553,0.0
 0.8354769332086918,2.267190808531741,0.8930874323908289,-13.693888576545323,0.835476933208692,1.0000000000000069,0.2190150224961387,0.0,10.589152425347597,0.0
 0.8511334395145478,2.2800277025197673,0.8899989075942023,-13.528099444824198,0.8511334395145481,1.000000000000007,0.21844841005132562,0.0,10.755996427484916,0.0
 0.8664873550740028,2.2928567980053915,0.8869513506287873,-13.362952783918793,0.8664873550740031,1.0,0.21788526983806625,0.0,10.918327543265113,0.0
 0.8815543796029357,2.3056778367809314,0.8839445699800966,-13.198446075009496,0.881554379602936,1.0,0.2173256716974852,0.0,11.076374193813548,0.0
 0.8963488695277015,2.318490560638703,0.880978374133643,-13.034576768596185,0.8963488695277019,1.0,0.21676968473091812,0.0,11.230346999655714,0.0
 0.9108839932876094,2.331294711371025,0.8780525715749391,-12.87134228508948,0.9108839932876097,1.0,0.21621737723503684,0.0,11.380440784381125,0.0
 0.9251718642728838,2.344090030770212,0.8751669707894977,-12.708740015406686,0.9251718642728841,1.0,0.215668816891325,0.0,11.526836298043776,0.0
 0.9392236552138038,2.3568762606285825,0.8723213802628316,-12.546767321536366,0.9392236552138041,1.0,0.21512407061777242,0.0,11.669701702605607,0.0
 0.9530496970902788,2.3696531427384526,0.8695156084804533,-12.38542153711017,0.9530496970902791,1.0,0.2145832047329609,0.0,11.809193863024978,0.0
